"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 10 21:23:21 MSK 2024","Sat Feb 10 21:23:23 MSK 2024","1766","tests","test_recover_password","TestRecoverPassword","","","Проверка, что клик по иконке ""Показать/Скрыть пароль"" активирует поле ввода пароля","Проверка, что клик по иконке ""Показать/Скрыть пароль"" активирует поле ввода пароля"
"passed","Sat Feb 10 21:19:34 MSK 2024","Sat Feb 10 21:19:35 MSK 2024","1259","tests","test_account","TestAccount","","","Кнопка ""Выход"" открывает страницу авторизации","Кнопка ""Выход"" открывает страницу авторизации"
"passed","Sat Feb 10 21:19:09 MSK 2024","Sat Feb 10 21:19:10 MSK 2024","548","tests","test_account","TestAccount","","","Кнопка ""Личный Кабинет"" открывает стр. профиля для авторизованного пользователя","Кнопка ""Личный Кабинет"" открывает стр. профиля для авторизованного пользователя"
"passed","Sat Feb 10 21:19:45 MSK 2024","Sat Feb 10 21:19:45 MSK 2024","86","tests","test_main_functional","TestMainFunctional","","","Переход по клику на ""Конструктор"" открывает страницу с конструктором","Переход по клику на ""Конструктор"" открывает страницу с конструктором"
"failed","Sat Feb 10 21:21:28 MSK 2024","Sat Feb 10 21:21:45 MSK 2024","16793","tests","test_orders_feed","TestOrdersFeed","","","При создании нового заказа счётчик Выполнено за всё время увеличивается","При создании нового заказа счётчик Выполнено за всё время увеличивается"
"passed","Sat Feb 10 21:23:12 MSK 2024","Sat Feb 10 21:23:13 MSK 2024","1107","tests","test_recover_password","TestRecoverPassword","","","Проверка, что кнопка ""Восстановить"" открывает страницу ввода нового пароля","Проверка, что кнопка ""Восстановить"" открывает страницу ввода нового пароля"
"passed","Sat Feb 10 21:23:00 MSK 2024","Sat Feb 10 21:23:00 MSK 2024","38","tests","test_recover_password","TestRecoverPassword","","","Проверка, что кнопка ""Восстановить пароль"" открывает страницу восстановления пароля","Проверка, что кнопка ""Восстановить пароль"" открывает страницу восстановления пароля"
"passed","Sat Feb 10 21:19:20 MSK 2024","Sat Feb 10 21:19:21 MSK 2024","265","tests","test_account","TestAccount","","","Кнопка ""История заказов"" открывает страницу истории заказов","Кнопка ""История заказов"" открывает страницу истории заказов"
"passed","Sat Feb 10 21:19:58 MSK 2024","Sat Feb 10 21:19:59 MSK 2024","636","tests","test_main_functional","TestMainFunctional","","","Переход по клику на ""Лента заказов"" открывает страницу с лентой заказов","Переход по клику на ""Лента заказов"" открывает страницу с лентой заказов"
"passed","Sat Feb 10 21:19:40 MSK 2024","Sat Feb 10 21:19:41 MSK 2024","1088","tests","test_account","TestAccount","","","Кнопка ""Выход"" открывает страницу авторизации","Кнопка ""Выход"" открывает страницу авторизации"
"failed","Sat Feb 10 21:21:58 MSK 2024","Sat Feb 10 21:22:16 MSK 2024","17297","tests","test_orders_feed","TestOrdersFeed","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается","При создании нового заказа счётчик Выполнено за сегодня увеличивается"
